# 録音_20260414_170242
検出言語: ja (確信度: 1.00)
音声時間: 869.5秒

---

[00:02] はい、では今年の1月にこの有限会社アリズキさんというところを退職されて、今転職活用されているということですね。
[00:16] はい、そうです。
[00:17] はい、わかりました。このアリズキさんというのは、どういった飲食店をやっている会社さんだったんですか?
[00:27] はい、アリズキは、モツナベのつくる飲食店です。
[00:37] アリズキは、場所は池袋の道具、そっぱの一番上の飲食店の道場の中の飲食店です。
[00:55] あ、世紀は、50世紀、食べ物の、食べ物はマイニューです。
[01:09] マイニューは基本的にモツナベです。
[01:15] 他のは、お酒とおつまみ、カラーケーとか生のお魚です。
[01:27] なるほどですね。
[01:29] じゃあ、そのモツナベのところで、まだ半年ぐらいずっとお話をされていたんですね。
[01:37] わかりました。
[01:40] はい、これ1月でどうしてやめてしまったんですか?
[01:46] はい、1月時は、私が、自分の国の家族、おじいさんは、病気なんて、国を介して、おじいさんを、おにえ帰ってみます。
[02:17] 国に帰っているんですね。
[02:22] なるほど。
[02:23] じゃあ、その国に帰るので、1回やめたみたいな。
[02:31] なるほど。
[02:33] もう今は、また日本に戻ってきて、働くみたいな。
[02:42] 今回、うちのハミデルという会社でも、外職の旧人がいくつかあるんですけれども、
[02:54] りゅうさんは、キッチンとホールはどっちの方で仕事していきたいとかありますか?
[03:01] キッチンの方か。
[03:02] キッチンの方で。
[03:05] わかりました。
[03:07] 前の会社、ありづきでもキッチンだったんですか?
[03:11] 前の会社は、キッチンのホールも両方やつになってます。
[03:18] 今度は、キッチンで働きたいということですね。
[03:22] はい、そうです。
[03:23] わかりました。
[03:25] 材料質カードは、まだ特定技能1号ですかね。
[03:35] はい、去年7月時は、ありづきに両社する時は、特定技能のビザを変更しました。
[03:52] はい、そうです。
[03:54] それは期限はいつまでですか?
[03:57] はい。
[03:59] 今年の7月15日までです。
[04:04] 1年ですね。
[04:06] はい。
[04:08] わかりました。
[04:09] じゃあ、やめてから、ありづきやめてから、今、7月まで、今何もお仕事してないって感じですか?
[04:19] はい。
[04:21] 特定技能ビザを持ってる人は、アルパイとできない。
[04:30] できないですよね。
[04:33] わかりました。
[04:36] はい。
[04:37] 了解です。
[04:39] では、キッチンで、お給料とかが、一応、給人の内容にもよって違うんですけども、
[04:59] だいたい26、7万から29万とかの給人が結構多いんですけれども、
[05:10] なんで26から29あたりの給人が結構多くあります。
[05:19] はい。
[05:21] 給料の希望はありますか?
[05:27] あ、給料の希望は、本社はみなし残業です。
[05:38] みなし残業のある会社と、もうない会社、あ、ないところ、2つあります。
[05:48] そうです。
[05:49] はい。
[05:50] できれば、みなし残業のない会社、例えば、1ヶ月に、
[06:06] 20万円ぐらい保証します。
[06:12] あ、だと、7日、29万円の良いです。
[06:26] でも、残業は少ないの、会社は20万円、給料は20万円、大丈夫です。
[06:37] はい。
[06:38] いいです。
[06:39] わかりました。
[06:40] じゃあ、給料が20万円ぐらいで、あとは残業がついてもらえる会社がいいかなってことですかね。
[06:53] はい。
[06:55] 一応、給人としては、例えば、基本が21万。
[07:05] はい、基本が1万。
[07:07] 基本が21万で、残業が大体30時間ぐらい、固定残業がついて27万くらいもらえますよ。
[07:19] はい。
