# 録音_20260420_093403
検出言語: ja (確信度: 1.00)
音声時間: 1536.4秒

---

[00:00] あ、ナイト!
[00:02] ハローゼン!
[00:04] え、そうなんだ?
[00:06] 形決めたいっすよ
[00:08] 明日から
[00:10] シャクオンラインで行ってみよう
[00:12] レックス
[00:16] レックス
[00:19] レックス ゲット スター
[00:21] レックス ゲット スター
[00:23] 始めましょう
[00:25] まずはスタッフイントレーション
[00:27] スタッフイントレーションで自行紹介
[00:29] セルフィイントレーション
[00:31] セルフィイントレーション
[00:37] セルフィイントレーション
[00:39] セルフィイントレーション
[00:41] セルフィイントレーション
[00:53] セルフィイントレーション
[00:55] Lab wholly introduction
[00:58] レッツケース  hablar
[01:02] マイネイン
[01:05] ふんわー
[01:07] シューチロン キトン
[01:09] 가 Tá
[01:11] わー
[01:13] サ fields
[01:15] 酌を試してみる
[01:17] あ、私は家で聞こえなくていい
[01:22] 她は私の名前
[01:29] 名前はえい
[01:33] 名前は私の姿だ
[01:35] 私はだめです
[01:37] 私はだめでそんいやん
[01:40] 何?
[01:42] 彼氏は私を知らないことにして
[01:45] 私はだめでそんやん
[01:48] 私はだめでそんいやん
[01:50] 何言ってんの?
[01:52] 親の人生か?
[01:55] 親の人生か?
[01:57] ああ、親の人生か?
[01:59] あ、親の人生か?
[02:02] 親の人生か?
[02:04] 親の人生か?
[02:06] 親の人生か?
[02:08] 親の人生か?
[02:10] そして、さっきの人生が
[02:12] ど many children have they?
[02:14] あ、2-child
[02:16] あー、2-child
[02:18] あ、2-child
[02:20] 2-child
[02:22] これが…
[02:25] インクレーションのリース
[02:27] イイクレーションのリース
[02:29] これ キーのままになる
[02:31] うん うん マイナー
[02:33] ブレース
[02:34] ホビーの中に
[02:36] ホビー
[02:37] ホビー ホビー
[02:38] ご覧のときは
[02:39] ホビーの中で
[02:40] 私は
[02:41] ワイシャンTV
[02:43] ワイシャンTV
[02:45] 私は
[02:47] ホビー
[02:48] ホビー
[02:50] 名の
[02:50] フィンガー
[02:52] 次は、ホビー、
[02:54] 次は、、アーチジーのコンビニに行っている。
[02:57] ああ、コンビニ?
[03:00] はい。
[03:01] 凄いな。
[03:02] すごく好き。
[03:03] 日本人って、日本人って全然行くの?
[03:08] セルフイン・インタラクションって書いてあるの?
[03:10] はい。
[03:11] カンパリング?
[03:12] 名前、名前、名前と、今は、
[03:15] 特性を出すからここをしている。
[03:16] 牛かとした場合は、子供がね、ね、
[03:20] 今はFDGカンベリーである
[03:28] FDGカンベリーの中に
[03:31] とりあえず
[03:34] なるほど
[03:36] トピー
[03:38] ミスタヨシだ
[03:40] うん
[03:42] レッツゲットスタートです
[03:44] 初めましては
[03:46] 初めまして
[03:48] 初めまして
[03:51] ナイスミチュー
[03:53] ナイスミチュー
[03:55] インバードオーケンさんが来た時の
[03:57] ナイスミチューで
[03:59] ナイスミチュー
[04:01] ナイスミチュー
[04:03] ノリフミヨシダ
[04:05] ノリフミヨシダ
[04:07] ノリフミヨシダ
[04:09] 48
[04:11] 48
[04:13] 48
[04:15] 80
[04:17] 48
[04:19] 48
[04:21] 20人
[04:23] チェーズ
[04:25] 2
[04:27] 2チェーズ
[04:29] 2チェーズ
