# 2026-04-09 16.56
検出言語: ja (確信度: 1.00)
音声時間: 1704.5秒

---

[00:07] こんにちは
[00:20] ハミデルの可愛いと言いますが リンさんいらっしゃる
[00:23] 可愛いです
[00:25] 先週末に
[00:27] 特定技能のお電話して
[00:29] 今日5時に
[00:31] ちょっと訪問すると話しさせていただいた
[00:35] 特定技能
[00:37] 外国人のスタッフさん
[00:39] どうかなというところで
[00:41] すみません
[00:43] 影響前にごめんなさい
[00:45] ありがとうございます
[00:50] すみませんありがとうございます
[00:55] あっこっちいいですか
[00:59] ありがとうございます
[01:05] ハミデルの可愛いと言います
[01:07] よろしくお願いします
[01:29] ありがとうございます
[01:32] すいませんけれどもありがとうございます
[01:34] 内側
[01:36] 焼肉蓋ごう
[01:38] ぜひそこにもテンポあるんですけど
[01:40] 蓋ごう
[01:43] 蓋ごう
[01:45] 今回は明示します
[01:47] 焼肉蓋ごうっていう
[01:49] すぐ近くの
[01:51] 2〜3分の
[01:53] 大阪焼き
[01:55] 白い缶番
[01:57] あれだと
[01:59] 半サイズで出しますよ
[02:01] あそこの会社の
[02:03] 小会社なんですよ
[02:05] 元々焼肉屋さんとか
[02:07] 餃子屋さんとか
[02:09] ずっと
[02:11] 10何年くらいやってて
[02:13] そうです飲食店でやってて
[02:15] 我々の会社が
[02:17] 外国のスタッフ
[02:19] 本当
[02:21] ベトナム
[02:23] メアンマー
[02:25] ネパールとかバングラディッシュとか
[02:27] 今だいたい80名くらい
[02:29] 撮ってるんですけど
[02:31] 元々うちだけで撮ってたんですけども
[02:33] やっぱり
[02:35] もっと他の会社さんで
[02:37] いろんな日本で働きたいです
[02:39] って方たくさんいて
[02:41] うちの会社のスタッフから
[02:43] 友達紹介したいって
[02:45] 結構言われてて
[02:48] うちで働いている
[02:50] 例えばベトナムの人が
[02:52] 友達で
[02:54] 飲食店で働きたいとか
[02:56] って方結構多くて
[02:58] うちの焼肉店だけだと
[03:00] 全部入れるの難しいので
[03:02] 今
[03:04] 他の飲食店さんに
[03:06] もし良かったら
[03:08] 日本で
[03:10] 働きたいっていう
[03:12] 色んな国籍の人いるんで
[03:14] 良かったら紹介とかさせてもらえませんか
[03:16] みたいなことで
[03:18] 電話説ですね
[03:20] ビザー申請しなきゃいけない
[03:22] そうですビザーは
[03:24] ただ日本にいる?
[03:26] 日本で今も特定技能持ってる人なんですけども
[03:28] 結構いるんです
[03:30] その人たちで
[03:32] 本当友達なんで
[03:34] 日本全国にいるんですよ
[03:36] それこそ
[03:38] 大阪の方とか
[03:40] 色んなところにいるんですけども
[03:42] やっぱり東京って
[03:44] 自給高いじゃないですか
[03:46] だから
[03:48] みんな地方にいる人が
[03:50] 東京で働きたいって結構言ってて
[03:52] 自分でも
[03:54] 引っ越してくるので
[03:56] そこは大丈夫なんですけども
[03:58] そういったところで
[04:00] もしそういった方とか
[04:02] 働けるのであれば
[04:04] 紹介させてもらえないかな
[04:06] ということで
[04:08] 電話させていただいてるんですよね
[04:10] 結構
[04:12] どこも人手が
[04:14] 不足してたりとか
[04:16] っていうところがあって
[04:18] そういったところで
[04:20] 人手でみんな社員で入れなきゃいけない
[04:22] そうですそうです
[04:24] 生社員で
