# 録音_20260414_193241
検出言語: ja (確信度: 1.00)
音声時間: 869.6秒

---

[00:01] はい、えーとですね、モー・トゥー・ザーさん。
[00:08] はい、モー・トゥー・ザーです。
[00:10] わかりました。
[00:12] あれ、メイズさんはさっき自己紹介してたのかな?
[00:16] はい、私少しだけ。
[00:18] ああ、なるほど。
[00:20] わかりました。
[00:23] えっと、モーさんは、今、
[00:26] あ、モーさん。何て言うべいんだろう?
[00:28] モー・トゥー・ザーさん。
[00:30] はい、モー・レ。
[00:33] はい。
[00:34] あ、わかりました。
[00:36] えっと、モーさん、今、
[00:38] 愛知県に住んでるの?
[00:40] はい。
[00:41] えー、今は何の仕事をしてるんですか?
[00:43] 今、焼き鳥を面している、
[00:46] えーと、
[00:48] 伊沢屋で働いています。
[00:50] あ、焼き鳥の伊沢屋さん。
[00:52] はい。
[00:53] あ、なるほどですね。
[00:55] え、今回、あのー
[00:57] 旧人の方見て、
[00:59] あのー、ちょっと連絡くれたと思うんですけれども、
[01:02] はい。
[01:03] え、今仕事、
[01:05] なんか別な仕事を探してるんですか?
[01:07] はい。
[01:08] えーと、探してるんですけど、
[01:10] なんか、私の
[01:12] 在留家との危険も、
[01:14] なんか、今、2ヶ月くらい
[01:16] 残ってますので、
[01:18] ちょっと早めに
[01:20] メンスを入って、
[01:22] えーと、新しい仕事を
[01:24] やりたいんです。
[01:26] あ、なるほど。
[01:27] あ、危険が6月26で
[01:29] 切れるんですね。
[01:31] はい。
[01:32] なるほど。
[01:33] じゃあ4月中に
[01:35] 新しい会社決めて、
[01:38] はい。
[01:39] 今の会社では更新してないんですか?
[01:42] 更新で、
[01:44] どういうことですか?
[01:46] えーと、
[01:47] 今の会社で、
[01:49] はい。
[01:50] えーと、ビザーを
[01:51] また1名とか、
[01:52] あー、ちょっとお越ししてないんです。
[01:53] あー、してないんですね。
[01:55] はい。
[01:56] 今の会社には、
[01:57] じゃあもうやめるって言ってるんですか?
[01:59] はい。
[02:00] もう捨てました。
[02:01] はい。
[02:02] はい。
[02:03] はい。
[02:04] えー、
[02:05] どうして、
[02:06] 今の会社やめちゃうんですか?
[02:08] はい。
[02:09] えーと、
[02:10] 今の職場は、
[02:11] サポとかも
[02:12] とてもいいけど、
[02:14] えーと、
[02:15] なんか、
[02:16] 私は自分の
[02:18] 成長、
[02:19] えーと、
[02:20] 将来のゲーリアーのために
[02:22] 新しい、
[02:23] えーと、
[02:24] 環境で働きたいと思っておりますので、
[02:26] はい。
[02:27] 職を決めました。
[02:29] すごい。
[02:30] じゃあ将来のキャリアーのことを
[02:32] 考えておりますね。
[02:33] はい。
[02:34] はい。
[02:35] えー、
[02:36] もうさんは、
[02:37] 将来のキャリアーって、
[02:38] なんか、
[02:39] ど、
[02:40] どんなことをしていきたいんですか?
[02:41] えーと、
[02:42] 今はいざが屋を働いていますので、
[02:44] いざが屋じゃなくて、
[02:46] ちょっと違う雰囲気、
[02:48] えーと、
[02:49] 今、
[02:50] カフェみたいの高級なレストレンで、
[02:52] えーと、
[02:53] 高級なサービス、
[02:54] 職客を
[02:55] 元、
[02:56] 学びたいからです。
[02:58] なるほど。
[02:59] じゃあ、
