# 録音_20260420_100036
検出言語: ja (確信度: 1.00)
音声時間: 598.8秒

---

[00:00] はじめまして
[00:02] はじめましてどうぞよろしくお願いします
[00:04] はじめまして
[00:06] ちょっと待っててくださいね
[00:08] はじめまして
[00:18] はじめまして
[00:20] かわいと言いますよろしくお願いします
[00:22] はじめまして
[00:24] こちらの声は大丈夫ですか
[00:26] はじめまして
[00:28] わかりました
[00:30] 今回は
[00:32] 休日の方を見ていただいて
[00:34] どうもありがとうございます
[00:36] はじめまして
[00:38] 私は
[00:40] 今回の
[00:42] カフェの休人だったり
[00:44] 日本の
[00:46] 飲食業の休人
[00:48] をいろいろと
[00:50] ありまして
[00:52] 特定技能の皆さんに
[00:54] 紹介するっていう仕事をやっています
[00:56] 今日
[00:58] 面談でお話しさせていただいて
[01:00] ちょっと
[01:02] わからないこととか
[01:04] ちょっと確認した上で
[01:06] いただいた履歴書ですね
[01:08] カフェの方に
[01:10] 応募させていただこうと思っていますので
[01:12] どうぞよろしくお願いします
[01:14] お願いします
[01:17] はい
[01:19] ちょっと待って
[01:21] ちょっと待って
[01:36] 今回
[01:38] カフェに休人応募してくれたと思うんですけれども
[01:40] 今は
[01:42] どんなお仕事をしてるんですか
[01:44] 今はアイスクリームを
[01:46] やってます
[01:48] アイスクリーム屋さん
[01:50] なるほどですね
[01:53] じゃあアイスクリームを
[01:55] お客さんに取ってあげたりとか
[01:57] そういったことをやってるんですか
[01:59] なるほど
[02:01] なるほどですね
[02:04] わかりました
[02:06] 日本に来てからは
[02:12] どのぐらい
[02:14] そういったところで働いてるんですか
[02:16] どの
[02:18] 今は
[02:20] 今は
[02:22] 今は
[02:24] 今は
[02:26] 今は
[02:28] 今は
[02:31] じゃあ初めは
[02:33] 介護の仕事をやって
[02:35] その後
[02:37] アイスクリーム屋さんで今5ヶ月
[02:39] ぐらいやってるんですね
[02:41] なるほど
[02:43] どうして
[02:45] 介護からアイスクリームやろう
[02:47] 介護は
[02:49] お父さんをお話しして
[02:51] 私の仕事を
[02:53] 興味があるので
[02:55] ごう
[02:57] お客さんの話して
[02:59] 日本語をご上場になりたいので
[03:01] ターブの人をご野菜を持って
[03:03] アイスクリームを
[03:05] やってます
[03:07] アイスクリームを言わせて
[03:09] 今は
[03:11] 今は
[03:13] お客さんは
[03:15] アイスクリームやターブ
[03:17] ターブ
[03:19] ターブ
[03:21] なるほど
[03:23] じゃあもっと日本語が
[03:25] うまくなりたいと
[03:27] 接客をやりたいってことで
[03:29] アイスクリーム屋を選ぶんですね
[03:31] わかりました
[03:33] スーメアシュエッシンさんは
[03:35] 普段
[03:37] 何て呼ばれてるんですか
[03:39] スーさん
[03:41] スーさんって呼ばれてるんですね
[03:43] はい
[03:45] 今回
[03:47] カフェの主人
[03:49] ちょっといいなって
[03:51] 見ていただいたと思うんですけれども
[03:53] 転職しよう
[03:55] って今思ってるんですか
[03:57] はい
[04:00] なんで仕事を変えようって
[04:02] 思ったんです
[04:04] 今は
[04:06] ちょっとたくさん
[04:08] 事前だって大体
[04:10] 転職とくらい
[04:12] これは
[04:30] なるほど
[04:34] そういった歩いていくの
[04:36] 結構通勤が大変なので
[04:38] 是非
