# 録音_20260423_093541
検出言語: ja (確信度: 1.00)
音声時間: 1467.5秒

---

[00:00] 私は、もう、プリュエントを言いたいと思います。
[00:07] はい。
[00:09] はい。
[00:10] はい。
[00:11] このチョーズに、リヨーションに、リヨーションを使ってください。
[00:14] いいよ。
[00:15] 大丈夫ですか。
[00:16] 大丈夫です。
[00:17] 今日も、レッツスタッティーイングリッシュ!
[00:23] 今日もレッツスタッティーイングリッシュ。
[00:26] 昨日の教えたアイムアタープとかは、日頂端までに思います。
[00:32] 使われますか。
[00:34] 今、やると思っているので。
[00:38] 私は、レッツスタッティーイングリッシュ。
[00:42] 今日は、レッツスタッティーイングリッシュ。
[00:46] レッツスタッティーイングリッシュ。
[00:49] 相手に、キョカを求めているときに。
[00:53] 相手に、キョカを求めているときに。
[00:58] キョカ。
[00:59] キョカ。
[01:00] キョカ。
[01:01] キョカ。
[01:03] キョカ。
[01:04] キョカ。
[01:05] レッツミースタッティーイングリッシュ。
[01:08] 何?
[01:09] スタッティーイングリッシュ。
[01:10] 手に、させていただきます。
[01:12] 言わせていただきます。
[01:14] ああ、そういうことか。
[01:15] 手に、手に。
[01:17] あ、手に。
[01:18] じゃあ、友達には使わない。
[01:20] そう、二手も大事な。
[01:22] 何?
[01:23] させていただきます。
[01:24] はい。
[01:25] 例えば、手を表せていただきます。
[01:27] お菓子を食べさせていただきます。
[01:29] ああ、なるほど。
[01:30] はい。
[01:31] はい。
[01:36] レッツミースタッティーイングリッシュ。
[01:40] レッツミッドアイス。
[01:41] レッツミッドアイス。
[01:42] それって、しいみで。
[01:43] はい。
[01:44] そういうことですか?
[01:45] はい。
[01:46] 完成そう。
[01:47] ね。
[01:49] 頑張れ through everybody of you.
[01:50] 頑張れ。
[01:53] 英語での話。
[01:54] かなりくらいのためだ、
[01:55] いつもかなり、
[01:57] かわいさが、
[01:58] 私にこの小川 attacker 食べてみたいから。
[02:04] 試してみて。
[02:05] レッツミッドアイス。
[02:06] let me try
[02:08] 僕らのことが言っているんですけど
[02:10] その僕が自分に会うことがわかんない
[02:12] その時に
[02:14] let me try
[02:16] レッツじゃないか
[02:18] レッツ
[02:20] let me try
[02:22] let me try
[02:24] let me try
[02:26] なんかあなたが独自しているのが
[02:30] 口をいきましょう
[02:32] let's go
[02:34] それはマーション
[02:36] いきましょう
[02:38] 食べましょう
[02:41] これは別です
[02:43] ラストじゃなくて
[02:46] マーションなんだ
[02:48] いきましょう
[02:51] 食べよう
[03:05] どうしようか
[03:07] どうしようか
[03:10] 手術はない
[03:13] 自分で
[03:15] レッツ
[03:19] let me try
[03:21] 大丈夫ですか
[03:23] 意味
[03:25] ピザ
[03:27] 食べさせていただき
[03:29] ピザ食べさせていただき
[03:35] 文章は使わない
[03:37] 喋ると使います
[03:43] レッツ
[03:45] ダンス
[03:47] ダンス
[03:50] 踊らせていただきます
[03:52] 指示の下げて
[03:54] やらせていただき
[03:56] 拝命します
[03:58] はい
[04:00] そしてスティーズ
[04:02] お前させていただき
[04:06] お前の人とか
[04:08] 会話の中で使うと
[04:10] 友達じゃないよ
[04:13] 友達どうしても使います
[04:15] はい
[04:17] 家とかには何かおかしい誰かが
