# 録音_20260423_130715
検出言語: ja (確信度: 1.00)
音声時間: 833.4秒

---

[00:00] 初めまして私可愛いと言います。 私はヨムミンちゃんです。
[00:09] よろしくお願いします。 大事なことに対しております。
[00:13] すいません、似て体調大丈夫ですか? 大丈夫です。
[00:20] 良かった良かった。
[00:24] 私があの企業の、いわゆる飲食店の企業さんからいろいろと人を紹介したほしいということでいろいろな人から言われて
[00:38] 今あの人材紹介という形でいろいろとさせていただいています。
[00:47] 今日はあのいろいろとちょっとお話を聞かせていただいて
[00:54] 例えばわからないところとか。 あと今回あのスタミナタロウさん焼肉の食べ放題の
[01:01] スタミナタロウさんの方をちょっと絞りたいということだったかと思いますので
[01:06] 今日お話し聞いた内容をスタミナタロウの担当者の方に私の方から伝えます。
[01:17] 上がりました。
[01:19] スタミナタロウさんの方で、じゃあ面接しましょうということであれば改めて
[01:24] 姉姉さんの方から、フェイスブックの方からちょっと面接にいてご連絡しますのでよろしくお願いします。
[01:32] ありがとうございます。
[01:35] まず最初にいろいろと聞きたいと思うんですけれども今は何の仕事をしてるんですか?
[01:43] 今私広島間でスキアというレストランでいただいています。
[01:48] スキア?牛丼の?
[01:51] はい、牛丼のレストランですね。
[01:52] めちゃくちゃ有名ですね、牛丼レストラン。
[01:56] ありがとうございます。
[01:58] ありがとうございます。
[02:00] えっと牛丼のレストランでは何年ぐらい働いてるんですか?
[02:05] 私、今年の7月になったら経験が2年になりますね。
[02:13] 2年、長いですね。
[02:18] スキアでは今どんな仕事をしてますか?
[02:23] スキアでは私、キッチもホールも私両方やっています。
[02:30] どっちともやってるんですね。
[02:33] なるほど。
[02:35] 今回スキアから東京の方でちょっと働きたいなと思ったのはどうしてですか?
[02:44] 私、新しい環境でチャレンジしたいと思って、
[02:49] 一番目はそれですね。
[02:51] 新しい環境でチャレンジしたい、それもあるし、
[02:55] あとは道場を張っているシフトがちょっと
[03:00] 一日に複数の時間たちにやることがありまして、
[03:06] 今後は基本の成長のために成長したいと思って、
[03:12] 今の仕事を希望しました。
[03:15] なるほど。
[03:16] じゃあ、これからは自分のスキルアップのために新しい環境で仕事をしていきたいということなんですね。
[03:27] はい、そうです。
[03:28] 分かりました。
[03:29] スキアさんって今シフトってどんなシフトなんですか?
[03:34] スキアでは、営業時間は24時間ですよね。
[03:40] 24時間なのでシフトが、例えば大体では私のシフトは
[03:49] 朝5時から9時まで、あとは2時から14まで、
[03:55] 3回目は18から0まで、いろいろ入ることがありまして、
[04:01] ちょっと時間が難しいかなと思って、大丈夫の希望です。
[04:07] なるほど。
[04:08] じゃあ、やっぱりその深夜とか、
[04:13] はいはい。
[04:14] キルやって、深夜やって、いろいろとやると大変ですよね、体ね。
[04:20] はい。
[04:21] さあ、早め、早め休憩して、夜をすぐまではちょっと難しいかなと思ったのです。
[04:30] 一応、スタミナタロウさんの方だと、
[04:33] 大体朝の10時とか11時ぐらいにお店入って、
[04:38] 夜の大体9時とか10時、休憩時間が昼という方に
[04:44] 1時間ぐらいずつあるっていう感じなんですけども、
[04:47] そういうのは大丈夫ですか?
[04:49] それは大丈夫で、ちょっと実際見てるんですけども、
[04:53] ブルーシーフードとかはありませんよね。
