# 2026-04-20 17.06
検出言語: ja (確信度: 1.00)
音声時間: 1698.0秒

---

[00:03] お待たせいたします
[00:06] すいません
[00:08] おすすめします
[00:10] FTG官媒の可愛く申します
[00:12] ありがとうございます
[00:14] 4月からなんで見せないので申し訳ないです
[00:16] 僕も4月から
[00:18] そうですね
[00:20] よろしくお願いします
[00:22] あっありがとうございます
[00:37] こんにちは
[00:39] よろしくお願いします
[00:43] FTG官媒の可愛く申します
[00:46] よろしくお願いします
[00:48] すいません
[00:50] 今日はお時間作っていただきまして
[00:52] ありがとうございます
[00:54] 今、実産の支援機関というような形で
[00:56] 我々FTG官媒の方が
[00:58] 通信をやっているんですけれども
[01:00] 一応3ヶ月に1回は
[01:02] 必ず
[01:04] 上昇の方と
[01:06] 5人の方
[01:08] 一緒に別々とかでもいいんですけれども
[01:10] 面倒しなければいけないという
[01:12] 決まっていまして
[01:14] 3ヶ月
[01:16] 一番最初と面倒という形になります
[01:18] 今日は
[01:20] 最初なので
[01:22] 実産の働いて職場も含めて
[01:24] 対面でお答えしたいなということで
[01:26] ちょっとほうちゃんの
[01:28] きんさんのご相談させていただいて
[01:30] 今日ちょっと似ての補助を続いて
[01:32] やっている形です
[01:34] よろしくお願いいたします
[01:36] 内容を通しては
[01:38] 実産が職場の方で
[01:40] どういった形はお仕事されているのか
[01:42] 勤務時間とか勤務内容とか
[01:44] そういったところ一応
[01:46] 批判させていただくというところと
[01:48] あと
[01:50] お仕事のところは問題なかなと思っているんですけども
[01:52] 例えば日本で働く中で
[01:54] 例えばプライベートも含めて
[01:56] 困っていることないのかなとか
[01:58] そういったところを
[02:00] 結構入口かかる気持ちを
[02:02] 気にしているものですから
[02:04] そういったところを支援機関として
[02:06] 批判させていただいた上で
[02:08] 我々の方でサポートできることがあれば
[02:10] させていただけないかなと思っているのが
[02:12] 面談という形です
[02:14] 普段だと毎月毎月は
[02:16] 5本人と
[02:18] うちの当社の仲間強い女性の
[02:20] スタッフの方で面談していたのですけども
[02:22] 例えば
[02:24] 5本人は気づいていないけれども
[02:26] 日本人の立場から見ると
[02:28] これって大事なのかなみたいなところがあれば
[02:30] そういったところもヒアリングできればなというところで
[02:32] 3ヶ月に一度は
[02:34] 徐々の方も交えて
[02:36] お伝えさせていただいているというところですね
[02:38] ありがとうございます
[02:40] じゃあ最初にちょっと
[02:42] 土田さんの方から
[02:44] お伺いできればなと思うんですけども
[02:46] エイリンさん自体は
[02:48] もう結構長いんですかも
[02:50] これはそうで2012年
[02:52] ほんまにめちゃくちゃ長いですね
[02:54] 大学卒業してそのままいるみたいな感じなんで
[02:56] あ、もうじゃあ新卒みたいな
[02:58] そうですね
[03:00] 16月14年
[03:02] そうなんですね
[03:04] 3月まで
[03:06] ムサシコスにある副事業
[03:08] そうなんですか
[03:10] 全員のものが
[03:12] 色んなって
[03:14] 僕もこっちに動いてきているみたいな感じ
[03:16] そうなんですね
[03:18] 僕も3週間弱く
[03:20] とかなんで
[03:22] 僕もまだ色々覚えながら
[03:24] みたいな感じ
[03:26] かながわのエリアがずっと長かったんですか
[03:28] そうですね
[03:30] 会社のお店時代
[03:32] 主にかながわ東京
[03:34] あるんですけど
