# 録音_20260416_113529
検出言語: ja (確信度: 1.00)
音声時間: 872.0秒

---

[00:04] じゃあノエさんよろしくお願いします
[00:07] よろしくお願いします
[00:09] 僕が色んな企業さん
[00:13] 今回のカフェとか
[00:15] 色んな会社さんの方から
[00:17] 特定技能で働きたいっていう方を
[00:22] 紹介するようなサービスを
[00:25] やっている担当者になります
[00:27] はい、わかりました
[00:29] 今回の企業の方に
[00:32] 紹介とか、あと採用されたとしても
[00:35] ノエさんの方から
[00:37] お金とかは一切もらわないので
[00:39] そこは安心してください
[00:41] わかりました
[00:43] はい、今日ですね
[00:45] ちょっといくつか質問とか
[00:47] 今の状況とか聞かせてもらって
[00:51] で、ノエさんが
[00:53] もし大丈夫だったら
[00:54] リレーションの方ですね
[00:56] カフェの担当者の方に
[00:58] ちょっと送ろうかなと思いますので
[01:00] お願いします
[01:02] お願いします
[01:04] ノエさんは今、お仕事を
[01:08] 今してるんですか?
[01:10] してます
[01:12] 現在は居酒屋で働いていて
[01:16] ホールもキッチンも用法
[01:19] 転倒してます
[01:21] なるほど、居酒屋で
[01:23] ホールもキッチンもやってるんですね
[01:25] そうです
[01:27] わかりました
[01:29] 居酒屋さんは何年ぐらいやってるんですか?
[01:32] 2日来てからですから
[01:34] もう2年以上ぐらい働いてます
[01:37] なるほど
[01:39] ありました
[01:41] で、今はサイタマ県の居酒屋なんですか?
[01:45] なんですか?
[01:47] メインは居酒屋下で
[01:50] シンバシーも終わることして
[01:53] 行ったりはしてます
[01:55] じゃあ、川口から
[01:58] 居酒屋とかシンバシー
[02:00] そこに通勤して
[02:02] 働いてるんですね
[02:04] そうです
[02:06] 帰りました
[02:08] 川口からと30分くらい行ける
[02:11] 用法?
[02:13] なるほど
[02:14] 僕も同じ川口住んでたんですよ
[02:17] どうしたの?
[02:19] 川口元号って知ってます?
[02:21] 元号は知らない
[02:25] 知らないです
[02:27] 居酒屋町って言うと郵便局近いですか?
[02:30] 郵便局はちょっと遠いです
[02:33] 居酒屋?
[02:35] 何があるの?
[02:37] 川口駅の近くにあるから
[02:41] あ、駅近くなった?
[02:43] そうです
[02:45] なるほど
[02:47] 郵便局だと逆側で
[02:52] 家からのと
[02:54] 10分くらいある考え
[02:56] 10分くらいある考え
[02:59] 川口有を川口
[03:02] よく言ってて
[03:05] ララガーデン川口とか知ってます?
[03:07] ララガーデン?
[03:09] 知ってます
[03:10] ベイビーですか?
[03:12] いろいろ
[03:14] 新しくできた
[03:16] 新しくできたとこありますよね
[03:18] ごろですよね
[03:20] 私もよく言ってます
[03:22] 分かりました
[03:24] 今国定技能2号持ってるんですね
[03:27] そうですね
[03:29] 特定技能2号は
[03:31] 一応合格ができていて
[03:33] ビドア交換や反報とかは
[03:36] まだ知ってないんです
[03:38] 今特定技能1のままです
[03:40] じゃあビドアは1号で
[03:43] 2号の合格書があるんですね
[03:47] そう、2号の合格書は
[03:50] 会社が
[03:52] 2号の合格書ができましたけど
[03:55] そのときに
[03:57] ロイングして
[04:00] 合格書書を頼ろうとするのを
[04:03] 知ってなくて
[04:06] サンがすごいに入ってやったら
[04:08] スタンドが変わったらしいんですよ
[04:10] それでまた4月に入って
