# 2026-04-15 15.58
検出言語: ja (確信度: 1.00)
音声時間: 871.9秒

---

[00:02] お待たせしました。
[00:04] すいません。
[00:06] すいません。
[00:08] 明日の方。
[00:10] あ、電子なんです。
[00:13] 大丈夫じゃないです。
[00:15] すいません。
[00:17] すいません。
[00:19] ありがとうございます。
[00:21] すいません。
[00:23] すいません。
[00:25] 大丈夫です。
[00:27] すいません。
[00:29] 3ヶ月に1度、こういった形で敵面談というのを今させていただいてて、
[00:35] で、
[00:37] 配属してそろそろ2ヶ月ぐらい経つかなと思うんですけれども、
[00:43] 一応特定技能の5本人の方と、
[00:45] あとそこの店舗の責任者の方にちょっと面談させていただいて、
[00:51] 特定技能5本人の方とかだと働いて実際どうですかとか、
[00:55] 困ってることないですかとか。
[00:57] 仕事目以外のプライベートとかで、
[00:59] 日本で困ってることないですか。
[01:01] そういったことをちょっと聞かせていただいてて、
[01:05] 配属先の責任者の方には、
[01:07] 例えば5本人は気づいてなかったとしても、
[01:11] 責任者から見て、
[01:13] 大丈夫かなとか、
[01:15] 無理したいかなみたいな、
[01:17] もし働いてる中とか、
[01:19] 普段のコミュニケーションの中で、
[01:21] 気になることとかがあれば、
[01:23] ちょっとお話しして聞かせていただいて、
[01:25] どちらかと長く、日本で安定に働けるように、
[01:29] サポートするという形でさせていただいてます。
[01:33] 私が登録申請機関として、
[01:35] こういった特定技能の方、
[01:37] 今、店舗の1つ組めると、
[01:39] 大体100人くらいいらっしゃるんですけれども、
[01:41] そういった方々の面談とか、
[01:43] ちょっといらっしゃっていただいているという形ですね。
[01:47] メンがメアンマーの方で、
[01:51] そうなんですよ。
[01:53] どうしても日本語だけだと、
[01:54] コミュニケーション取りづらいところとか、
[01:56] 応援するということができると、
[01:58] どうして聞きさせていただいてますので、
[02:00] よろしくお願いします。
[02:03] すみません。
[02:05] 吉田さんは、
[02:07] ここの店舗の方で店長選んでて、
[02:09] って感じですか?
[02:11] 長いですね。
[02:15] 全国来ましたね。
[02:19] ずっと6年ぐらい、
[02:21] ずっと江戸一さんの方で。
[02:23] そうですね。私に入る写真が2019年で、
[02:28] 最初の3ヶ月のここで、
[02:31] その後、
[02:33] 移動して、
[02:35] この店舗1年しないで、
[02:37] 結局、こっちに戻ってきて、
[02:39] その戻ってきたときに、
[02:41] 店長としていて、
[02:43] えー。
[02:45] 上のとか、
[02:47] インバウンドすごいそうですよね。
[02:49] すごいですね。
[02:51] うちまんが焼肉2合っていう
[02:53] 焼肉店やってまして、
[02:55] ちょっと上の店もあるんですよ。
[02:57] 私の存じ上げでなくても、
[02:59] あんまり、
[03:01] めちゃくちゃその、
[03:03] 買い前のお店とかあんまり見ない。
[03:05] 本当にだから、
[03:07] 職場と、
[03:09] 家の行き機とか。
[03:11] 僕、スタミナ太郎さんは、
[03:13] めっちゃ昔から知ってて。
[03:15] 昔も、
[03:17] 学生の頃、
[03:19] 地元にはなかったんです。
[03:21] 同じ県内には、
[03:23] 店舗があったし、
[03:25] でも、
[03:27] あまり旅に行ったことはなくて、
[03:29] 知ってるくらいだった。
[03:31] 確かに、名前めちゃくちゃイメージですよね。
[03:33] 僕は住んでるとこ、
[03:35] あたち区なんですよ。
