# 2026-04-16 15.10
検出言語: ja (確信度: 1.00)
音声時間: 3092.9秒

---

[00:02] 今日は面談?3ヶ月に1回はこれに面談。
[00:10] で、一応毎月オンラインとかでどうですかっていうふうに。
[00:14] 前、エリさんが多分お話ちょっと聞いたと思うけども、
[00:21] 今日は3ヶ月に1回なんで対面と。
[00:25] また別な日に店舗の店長さんともちょっと面談します。
[00:31] で、何をするかっていうと、例えば店舗で働いてて、
[00:42] 例えばお給料のこととか、あと働く時間のこととか、
[00:48] あと休みとか、あと例えば仕事以外の家のこととか、
[00:57] あと生活のこととか、何が困ってることとか直したいみたいなことを
[01:05] ちょっと申し訳あれば聞いて、
[01:08] で、場合によっては、我々がサポートができることがあれば、
[01:16] 何かサポートしたいなっていうことを時間作ってもらってます。
[01:20] 実際に今仕事してて、困ってることとか、
[01:26] これどうしようみたいなことって何かあります?
[01:34] 給料名材もらってない?
[01:37] 紙でもらってない?紙、手書き。
[01:41] 手書きもないんだ?
[01:43] そうなんだ。
[01:46] じゃあ、給料は銀行?振り込み?手渡し?
[01:52] 手渡しなんだ。
[01:54] じゃあ、手渡しで何万だよ?みたいな。
[01:59] で終わって紙も何もない。
[02:03] これは、厳選聴取票ってもらった?
[02:08] 厳選聴取票もらった?
[02:10] それって何か写真とか紙持ってたりします?厳選聴取票。
[02:16] 家にある?
[02:19] なるほど、厳選聴取票あるってことは給料名材出せるってことかな?
[02:24] なるほどですね。
[02:26] 一応、給料名材は手書きでも紙でもいいので、
[02:35] もらうっていうか、ないと、
[02:38] その中で確認がやっぱりできないので、
[02:45] それはちょっとね、
[02:49] 給料名材じゃなくて厳選聴取票はいつもらいました?
[02:56] わかんないみたいな。
[03:07] 給料今、いくの?
[03:18] 給料?
[03:22] 17、18個。
[03:24] 17、18個。
[03:26] 手取りで。
[03:28] 手取り。
[03:30] 手取り17から17。
[03:32] それが、いつも、先月。
[03:34] これは、1月も。
[03:36] 1月、いつもらうって、そのタイミング。
[03:40] 16、16。
[03:42] じゃあ、今日。
[03:44] 今日もらえる。
[03:46] 今日もらった。
[03:48] これからもらうんだ。
[03:50] 2月分が今日から。
[03:52] なるほど。
[03:54] 2月分が今日なの?
[03:56] 手取りが、
[03:58] 1月も17は、
[04:00] 税金とか入ってない。
[04:02] 入ってない。
[04:04] 2月から税金全部払う。
[04:06] なるほど。
[04:09] え、1月。
[04:12] 1月までは、
[04:14] ターゲンじゃん。
[04:16] バイトみたいな。
[04:18] 毎月16日。
[04:20] 1月16日。
[04:23] ということは、3月16日もらった?
[04:25] 3月。
[04:28] お見山ごいこうか。
[04:41] あ、3月分は
[04:43] 2月。
[04:45] 1月分も4月15日は16日。
[04:47] 3月。
[04:49] 3月分、
[04:51] 3月分が今日。
[04:53] 2月分が
[04:55] 3月15日。
[04:57] それは一緒ですよね。
[05:02] じゃあ、1月15日と
[05:04] 2月15日と
[05:06] 3月15日っていくらだ。
[05:08] おめでとうございます。
[05:10] ありがとうございます。
[05:12] お水でよかった。
[05:14] おめでとうございます。
[05:16] ラーバンさん、ありがとうございます。
[05:18] 食べに来るんで。
[05:20] はい。
[05:22] ラーバン君、初めまして。
[05:24] 名前はカネガネ。
