# 2026-04-15 13.58
検出言語: ja (確信度: 1.00)
音声時間: 2503.4秒

---

[00:00] どうもありがとうございます。
[00:02] あ、すいません。
[00:05] どうもありがとうございます。
[00:07] どうもお疲れさまです。
[00:09] 終わりました。ありがとうございます。
[00:13] どうもお疲れさまです。
[00:15] 久しぶりですね。
[00:18] もうパッチリ元気で。
[00:25] 今日、敵メンダー。
[00:27] で、あの、あ、初めて
[00:29] どうぞ自己紹介。
[00:32] ニェンマンカレーです。
[00:34] ニェンマン?
[00:36] お疲れさまです。
[00:38] 私は次に、
[00:40] メインサーです。
[00:42] メインサーです。
[00:44] メインサーです。
[00:46] メインサーです。
[00:48] なんかっても、
[00:50] ニェンマンカレーでいけるみたいな。
[00:52] はい。
[00:54] ありがとうございます。
[00:57] 今日は、
[00:59] メンダンで、
[01:01] 仕事?
[01:03] 飛ぶかなーってことで
[01:05] で、
[01:07] 4月
[01:13] 15日、
[01:15] ですね。
[01:24] 今、仕事って、
[01:26] 何時から?
[01:28] 朝、10時から9時まで。
[01:30] あ、10時から9時まで?
[01:33] なるほどですね。
[01:35] 21時まで。
[01:38] で、休憩とってみたいな。
[01:40] 忙しいのって何時なんですか?
[01:45] 9時まで。
[01:47] 小さに、
[01:49] 働いて、
[01:51] 2ヶ月くらい経つじゃないですか?
[01:53] どうですか?
[01:55] 働いてて、
[01:57] 楽しい?
[01:59] 楽しい。
[02:03] どんなところが楽しいですか?
[02:07] 楽しいの?
[02:09] どんなところ?
[02:11] 今日様に入ってる時に
[02:13] 楽しいです。
[02:15] 今日様に
[02:17] 繰り返すのは楽しいです。
[02:22] 仕事の内容って
[02:24] 今何してるんですか?
[02:26] 今、今日様をサフするとか
[02:28] サラーを避けるとか
[02:30] 時々、
[02:32] サラーを洗ってます。
[02:34] テーザーの準備とか
[02:36] 朝に会談準備とか
[02:38] してます。
[02:40] ホールで
[02:42] 接客して
[02:44] 食事下げてみたいな。
[02:46] 場合のやつは洗ったりとか
[02:48] なるほど。
[02:50] ホールがメインなんですね。
[02:52] ホールがメインです。
[02:54] わかりました。
[03:05] 毎日残業とかってあるんですか?
[03:07] 残業。
[03:09] それは
[03:11] 1日2時間くらいか?
[03:13] 1日1時間とか
[03:15] 練習は1時間
[03:18] 普通は2時間
[03:20] そうなんですね。
[03:22] 休みって
[03:29] 月何回?
[03:31] 週2回?
[03:33] 1週間に2回です。
[03:35] そうなんですね。
[03:39] 休み週に
[03:42] 休みの日何してるんですか?
[03:45] 楽しんだりとか
[03:47] 家に必要なものを
[03:49] 置いてるとか
[03:51] なるほど。もう日本慣れました?
[03:53] 慣れた。
[03:55] めっちゃ寒い。
[03:57] 寒いって。
[03:59] これから
[04:01] 暑い。
[04:03] 暑い。
[04:05] 朝に寒い。
[04:07] 夕日や午前に
[04:09] 寒いですね。
[04:11] これから
[04:13] じめじめってわかる?
[04:15] めちゃくちゃ5月とか
[04:17] 6月とか雨降って
[04:19] 雨降って
[04:21] これからすごい暑くなるから
[04:23] 宮前より暑い。
[04:25] 宮前より暑い。
[04:27] 宮前より暑い。
[04:29] そういうのは弱い。
[04:32] 弱い。
[04:34] 仕事以外で
[04:36] 休みの時とか
