# 録音_20260615_113654
検出言語: ja (確信度: 1.00)
音声時間: 3597.2秒

---

[00:01] この低いコミュニタにして実際どう対応していきますかみたいな
[00:05] なるほど
[00:07] これがいわゆる店長の成長のところになります
[00:10] 店長に権限を渡さなくていいですよね
[00:13] この見れるタッシュボードを見れる
[00:16] 今来るとき?
[00:18] 見るときに見せればいいですよね
[00:20] じゃあ今
[00:22] 店舗で見れるわけでクリックして
[00:25] 人事のない方が感じるようになって
[00:27] クリックして店舗のタッシュボードがバーンって
[00:30] その店舗のやつは全体のやつがチンジンを着ている
[00:33] 店舗のやつは
[00:36] 昨日とかしか見れない
[00:38] 店舗周りのやつしか見れない
[00:40] 店舗行ったときに
[00:41] こいつらが向こうが合う時間を作る
[00:44] 向こうに有効な情報がないときは
[00:47] あっても時間の無駄になる
[00:49] でも昨日さんはちょっと待ってました
[00:51] 気になったんです
[00:52] 今どんな状況ですかみたいな
[00:55] 今こういう力で良くなってきましたよみたいな
[00:57] でもしかしてエリアマネージャー以上に
[01:00] 信頼関係を持てるようになってくると
[01:02] きのさんは待ってたんですよ
[01:04] で、お前らもきのさんがついてくれてるんで
[01:09] ハンミレルがついてくれてるんで
[01:11] 店舗上にめちゃくちゃ良いです
[01:12] っていうのが店長で始めると
[01:14] その成功事業にエリアマネージャーが
[01:17] うちのここの店舗にも行ってもらえますかとか
[01:20] エリアマネージャーでこっちが必要されるようになると
[01:23] いいですね
[01:25] じゃあ、これは作っておきます
[01:27] どれくらいできる?
[01:30] 強圧には
[01:31] そう
[01:32] ちょっと中身して
[01:33] 関係がないよ
[01:34] それでどう見れるかっていうのも
[01:36] で、ホリーとの営業も
[01:42] 休心とるのも
[01:44] そこで休心というか
[01:45] 行けるように持っていかないから
[01:47] それをやりながらこれ作って
[01:49] で、行った時に
[01:51] まさに行けると
[01:53] で、こいつらの動き方の
[01:55] 自然動欲に
[01:56] 外国企業に行くかを
[01:58] 今国内は
[02:00] 社内は
[02:01] しながら
[02:02] ある程度できたから
[02:03] 一体形作ろう
[02:05] 高田と
[02:07] 昨日と
[02:08] こやまとこれで
[02:09] 今週金曜日も入れてるやん
[02:11] 6時から
[02:12] その時に
[02:14] 次
[02:15] 外国企業を回る時に
[02:17] どういう国に
[02:18] 回っていくかの流れと
[02:20] 最初の
[02:21] 1回目あった時に
[02:22] 2回目あった時に
[02:23] 流れを作って
[02:24] 終わりました
[02:28] 紹介しかない
[02:33] という感じです
[02:34] だから今月1名
[02:36] 決定の予定ですけど
[02:37] 皆さん、今月1名なんですけど
[02:44] 今読みがいないんです
[02:46] これはでも
[02:49] 何が原因かって言ったら
[02:51] 僕が開拓をくれているのかという
[02:54] じゃあ開拓早くしよう
[02:55] はい
[02:56] 同時に
[02:57] この前の設計
[02:58] もう一回ちょっと
[02:59] 明日
[03:00] スグルさん来るやん
[03:01] それ話を元に
[03:02] ちょっと
[03:04] POCをどう回していくか
[03:06] 分かりました
[03:07] POCというのは
[03:08] 改善
[03:09] 社内で
[03:10] 検証して
[03:11] 改善する
[03:12] プロドタイプを出す前の
[03:15] っていうPOCです
[03:18] 俺もPOCって誰か
[03:19] 知らぬから
[03:20] なんでここだって小文字なん
