# 2026-04-10 15.28
検出言語: ja (確信度: 1.00)
音声時間: 2224.9秒

---

[00:00] TWT-206と間違いがありました。
[00:03] TWT-1007は、課物に取り組んでいるので、
[00:06] TWT-118と同時に課物を取り組んでいます。
[00:22] TWT-113と同時に課物を取り組んで 、
[00:25] TWT-139と同時に課物を取り組むので、
[00:40] TWT-132と同時に課物を取り組むので、
[00:47] TWT-133が跳んでいます。
[00:49] TWT-134は、
[00:50] TWT-137の車に乗るので、
[00:52] TWT-134は、
[00:53] 5時からまた
[00:55] まだ
[00:56] 5時までですけど
[00:58] 1時からさとき、また残業です
[01:00] 残業してみたいな
[01:02] 朝は何時?
[01:03] 11時から
[01:04] 11時から?
[01:05] はい
[01:06] 11時、12時、13時
[01:08] で、4時、5時、6時、7時、8時
[01:11] あ、あそこから8時から働く
[01:13] なるほど、そこから8時間働く
[01:21] 11時くらいまで
[01:23] 11時まで影響してるの?
[01:26] 今は人が足りないので
[01:29] 足りないんだ?
[01:30] 11時まで毎日
[01:31] あ、そうなんだ
[01:32] あ、目玉が
[01:34] 足りないと言って
[01:37] 金曜日
[01:39] 金曜日やばい
[01:40] 金曜日は11時、7時くらい
[01:42] あ、そうなの?
[01:44] でー
[01:45] 11時までくらい
[01:47] そんなに?
[01:48] はい
[01:49] 結構遅いですね
[01:50] でも、ちなみに金曜日は
[01:53] 混んでる
[01:54] 中華料
[01:56] 中華、中華、中華料理
[01:59] これ?
[02:05] 中華、中華、中華料理
[02:06] これ?
[02:07] あ、これじゃない
[02:08] 違うね
[02:09] で、力、お好み焼き
[02:11] お好み焼き?
[02:12] はい
[02:15] もんじゃ
[02:23] 力
[02:25] これか
[02:26] これじゃない
[02:27] これじゃない
[02:32] よし、よし
[02:33] よし、の力
[02:36] コンボ
[02:37] もんじゃダン
[02:51] はい、はい、はい、はい、はい、はい、はい
[03:55] なるほど
[03:56] これ?
[04:09] はい
[04:10] これか
[04:11] はい
[04:12] なるほど
[04:13] えー
[04:21] 力
[04:29] なるほど
[04:33] でも、働いて
[04:35] 何?
[04:36] どのくらい?
[04:37] 今、4カ月
[04:38] 4カ月か?
[04:41] 12
[04:42] 12
[04:43] あ、5カ月
[04:44] 12、13、4
[04:45] あ、5カ月
[04:46] 5カ月か
[04:47] 今日は店長いるの?
[04:49] 今日は店長いるの?
[04:50] はい、いるんだ
[04:51] はい
[04:52] やる
[04:55] どう?
[04:56] お店
[04:58] だいじょうぶ
[04:59] マゴでも大丈夫
[05:00] マゴだよ
[05:39] 良かった?
[05:44] さすがに
[05:46] すみません、マジ良かった
[05:48] 全然分からない
[05:49] その、マジは
[05:52] 入まれていじゃないよね
[05:53] そうだね
[05:54] そうだね
[05:55] わかる、わかる
[05:57] 夜景で
[05:58] 夜景で
[05:59] 寝ている
[06:00] 夜景で
[06:01] 何で寝ているの?
[06:02] わかるの?
[06:03] わかる、わかるの?
[06:04] もう、何で?
[06:05] 寝ている
[06:06] 寝ている
[06:07] 寝ている
[06:10] 寝ている
[06:11] 寝ている
[06:12] 寝ている
[06:13] 寝ている
[06:14] 地球とかにわかる
[06:15] そうなんだ
[06:16] ちっちにいくら
[06:18] うち次元にいくら?
