# 録音_20260414_182922
検出言語: ja (確信度: 1.00)
音声時間: 762.6秒

---

[00:00] こんにちは、よろしくお願いします。
[00:06] 私、ハミデルの可愛いと言います。よろしくお願いします。
[00:18] ズーマーテンさん。
[00:23] よろしくお願いします。
[00:25] ミャンマーなんですね。
[00:27] はい、ミャンマー人です。
[00:30] 一応通訳で、ミャンマーのメイさんも一緒に入ってくれますので、よろしくお願いします。
[00:37] よろしくお願いします。
[00:39] 私たちが外職、東京とかの飲食店の旧人をたくさん持っていて、
[00:52] その飲食店で働ける人を今募集してます。
[00:58] 今日、お話しさせてもらって、
[01:04] トゥンさんと言えばいいのかな。
[01:06] トゥンさん、どっちだろう?
[01:08] トゥンさんと言えねえください。
[01:10] トゥン。
[01:12] トゥンの方ですね。
[01:14] じゃあ、トゥンさんのやりたい仕事に会うやつを紹介させてもらえればと思うので、よろしくお願いします。
[01:26] はい。
[01:28] 私もともとアジアコマースさんにちょっと興味があるということで言っていただいたんですけども、
[01:38] すみません。
[01:40] アジアコマースさんがN2の方をちょっと採用したいということで、
[01:48] ちょっと今回ダメだったんですね。
[01:52] はい、かかりました。
[01:54] はい。
[01:56] トゥンさんは今は何の仕事をしてるんですか?
[02:02] はい。今は老人ホームのためにオヴァンドを盛り遣ける仕事をしています。
[02:10] じゃあ、そういった老人ホーム抜けのお弁当の作る外職の仕事なんですね。
[02:18] はい。
[02:20] 次は、ここがどうして仕事をやめちゃうんですか?
[02:27] この仕事はオヴァンドを盛り遣ける仕事だから、この仕事は経験をとって、
[02:33] まだ飲食団の仕事にもっとまでみたいだから、この仕事からやめたいんです。
[02:41] じゃあ、もともとそういった飲食店で働きたいんですね。
[02:45] はい。
[02:48] 次、トゥンさんはどんな仕事やりたいですか?
[02:59] やりたい仕事キッチンホールとか。
[03:02] はい。今はケチンヒバだから、ここにもこの仕事にもオヴァンドを盛り遣る仕事だから、
[03:13] 先に、ケチンヒバで大丈夫と思います。
[03:16] ケチンヒバでもっと頑張って、あと会話とかお仕事はなられたときに、
[03:24] ホールのスタッフになりたいんです。
[03:28] じゃあ、まずはキッチンヘルパーで、
[03:31] 調理の仕事。
[03:34] はい。
[03:36] 大丈夫と思います。
[03:38] わかりました。じゃあまず、料理からですね。
[03:41] はい。
[03:42] はい。で、だんだん日本語、慣れてきたら次はホールとか、いろんなこと。
[03:51] はい。もっと頑張ってみたいんです。
[03:53] はい。
[03:54] もっと頑張ってみたいと、わかりました。
[03:58] はい。
[04:00] 特定技能1号で、なってから何年、いつ取ったんですか、特定技能1号は?
[04:12] 5年です。
[04:14] なるほどですね。
[04:17] じゃあ、まだ1年とかそのぐらいですね。
[04:20] はい。今は、8時間経済点ぐらいになりましたから、
[04:26] あとです。
[04:28] はい。
[04:29] あと4年ですね。
[04:31] はい。
[04:32] はい。わかりました。
[04:35] えっと、キッチンの仕事も、いろいろな仕事があります。
[04:42] はい。
[04:43] えっと、例えば居酒屋とか、
[04:47] はい。
[04:48] ラーメン屋さん、
[04:51] あとカフェ、
[04:53] はい。
[04:54] で、うどん、麺、麺ですね。
[04:59] いろいろ、パンパンとか、いろいろありますが、
[05:04] はい。
