# 録音_20260612_123315
検出言語: ja (確信度: 1.00)
音声時間: 909.5秒

---

[00:00] 夏営業っていうと、あんまり私は 進めてきないなと思っているので、
[00:06] クライアントさんに契約者として 契約者やつ、あるいは別に良いんじゃないですか。
[00:12] 契約者やつ、人材障害契約とか、 特定技能の人材障害契約は行けそうですね。
[00:22] それを踏める方が何なんですか?
[00:24] 契約すること、送るやつ、こっちから送るやつ、 クライアントさんに送るんですけどね。
[00:29] で、ひな蓋を持ちまっていて、 金額社名を変えるぐらいの人材障害契約。
[00:35] 客庁の動きさんの方、これは変えない方が 良いと思いますっていうのは、例えば、そういう。
[00:43] まあ、これ以外の普通の契約。
[00:47] 普通の契約。
[00:48] お金払うケースも。
[00:49] お金払うケースも。
[00:50] あ、請求書とか。
[00:52] 向こうから影響を受けた。
[00:53] あ、支配が良いとかのやつ。
[00:55] なるほど。
[00:56] 新しいコンサム2.5お年はしろいとか、 影響会社を見られる。
[01:00] 確かに。
[01:01] それ、ケーリも入ってきちゃう。
[01:04] この内容が。
[01:05] まあ、ほうが良い。
[01:07] はい。
[01:10] なんで、そんなに事故が起こらないかつスピードが 求めるもの?
[01:15] だから、あれが絶対、数量が多いもの?
[01:18] また、営業の通信中なんです。
[01:20] そうですね。
[01:21] 特定技能関係は、ほぼ固定ですもんね。
[01:24] そうです。
[01:25] 金額も一緒だよ、悪魔。
[01:27] ほぼ固定ですかね。
[01:28] これぐらいですかね。
[01:29] 金額なんて、何もない。
[01:31] マクだけなんで。
[01:32] あと、中途の契約者。
[01:35] 今、大きい額で3つあって、 映画が開けてるのかな。
[01:39] 親族と中途の特定技能外国人なんてろ。
[01:42] この3つしかない。
[01:45] この3つだけ、
[01:47] 営業の効果が止まっておりたい。
[01:49] だから、いいかにした。
[01:52] 逆に他に、自社でやりたいなって 思ってたもんね。
[01:58] いや、何です。
[02:01] これができればいいかなと。
[02:02] これは、いいんじゃないか。
[02:07] これぐらいですかね。
[02:08] 何件?
[02:10] 10件。
[02:12] 多くて10件とかね。
[02:13] はい。
[02:15] こっちは、
[02:16] これからは、
[02:19] 開拓者数が今月60ですね。
[02:21] そうですね。
[02:22] でも、企業者に内定もらって 契約だと、
[02:25] 20、30ですよね。
[02:26] 30、
[02:27] 外月40。
[02:28] そうですね。
[02:29] 10ずつぐらい増えてる空間ですね。
[02:31] 30、40、50って。
[02:33] でも、
[02:34] 今じゃ2人なんで、
[02:35] 15社くらいじゃないですか。
[02:37] じゃあ、2つ合わせ30いかないぐらいです。
[02:39] 30ぐらい奥で、
[02:41] 今月だった。
[02:42] なるほど。
[02:43] 今思ってるのが、
[02:45] このマネフォアド、
[02:48] これが一番安くて、
[02:50] 使い勝手もいいんじゃないかな って、
[02:52] スタッフさんが選んでくれて、
[02:55] で、
[02:56] スタッフくらいだったら、
[02:57] 一昨日だけど、
[02:58] 私とホントにアカウントもなくて、
[03:00] そこから発行していくみたいな感じで
[03:02] いいかなと思っていて、
[03:04] ただ、あんまり増えちゃうと、
[03:07] なんだろう、
[03:08] 一週間に一回、
[03:09] 2K約の方が、
[03:10] 反抗を教えてないやつ、
[03:11] おり前にも書けるんですけど、
[03:12] まっすぐ、
