# 2026-04-14 14.01
検出言語: ja (確信度: 1.00)
音声時間: 1522.5秒

---

[00:03] すみません、ありがとうございます。
[00:05] あなたは私なんですけども、登録支援機関でFTGカンパニーで支援担当責任者をやっています。
[00:15] 可愛く申します。よろしくお願いします。
[00:17] こちらは外国人席の方を主に担当しているんですけども、4月1日入ったばかりです。
[00:23] よろしくお願いします。
[00:27] 今日は3ヶ月に1回の定期面談というような形で、ご本人と、
[00:33] あとはそのお店の責任者の方に一応ご確認させていただいて、
[00:37] 例えば、我々の方でサポートできることがあれば、そういったところを持ち帰りたいなと思っていますし、
[00:44] あとは雇用していた上でのご不明点とか、
[00:48] みなさまとも働いてて気になることとかあれば、
[00:52] 支援機関としてちょっとポローできることがあれば、
[00:57] そういった日上に向かってても話になりますので、よろしくお願いします。
[01:01] で、一応時間なんですけども、一店舗ごと大体15分から20分くらいということでさせていただいておりますので、
[01:09] すみません、お願いします。
[01:12] 小池さんは、結構クトレスは長いんですか?
[01:16] もう7年ぐらい。
[01:17] あ、そうなんですね。もうずっと飲食で。
[01:20] そういうわけではないんですけども、クトレス着てから。
[01:23] あ、そうなんですね。ありました。
[01:26] じゃあもうお二方が拝続されてからずっと責任者として見られている?
[01:31] 責任者になったのは、担当の地区がありまして、
[01:36] 実は4月から担当になった場合。
[01:38] あ、そうなんですね。
[01:39] おともとは知ってるんですけども、担当になったのは4月からです。
[01:43] 分かりました。
[01:52] これまで、ここに来る前まで特定技能とか、外国籍の方とか、
[01:58] 雇用だったり、例えばアルバイスさせてたり、みたいなところっていうのがあったりした。
[02:02] アルバイドとか社員さんも結構一緒にやったりとかしていまして、
[02:05] そういうもんさせてもらっています。
[02:07] 分かりました。
[02:08] はい、と、雇用力。
[02:17] 実際、店長さんから見られていて、実際働きぶりというか、実際どうです?
[02:23] 一生懸命やってくれております。
[02:25] なんですか?
[02:26] ありがとうございます。
[02:27] 今、シフトとしては、だいたい何時何時くらいで入られていますか?
[02:36] だいたい21時半とかです。
[02:39] 21時くらいだ。
[02:41] 21時くらい。
[02:43] 14時、23時くらいです。
[02:45] 休憩日。
[02:46] 休憩日ですね。
[02:48] 実際、働かれる実態として、残業とか、
[02:57] どのくらいだと、結果は30、50なのかなとか。
[03:01] そこまで、たぶん残業はついてない。
[03:04] だいたい月平均170か180時間ぐらいですので、
[03:09] 一応、会社としてみなし残業をついているんですが、
[03:13] みなし残業もほとんど使わずに、
[03:16] 870か180時間でだいたいみなしを活用しています。
[03:21] 170か180だと、週末2日とかさなかですか?
[03:24] 週末2日です。
[03:25] なるほどですね。
[03:29] じゃあ、月8とかですか?
[03:31] 週休み以外ですね。
[03:33] なるほどですね。
[03:40] 実際、外国籍の方、特定技能の方、
[03:43] 雇用されていて、店長さんとして、責任者として、
[03:47] 不明なところとか、
[03:50] 例えばそういった日本の制度的に
[03:53] ちょっとわからないこととかがついてあったりします。
[03:55] 最近ですね、会社としての講座を、
[04:00] 銀行講座なんですけど、
[04:03] おぉ、はい。
[04:05] みつみ市UFJに切り替えようと思ったんですけども、
[04:09] 昨日とか、彼、銀行の子が作ったんですけど、
[04:13] 作れないみたいになって、
[04:15] みつみ市UFJ?
