# 2026-04-17 17.00
検出言語: ja (確信度: 1.00)
音声時間: 1467.8秒

---

[00:00] はじめまーす
[00:02] はじめまーす
[00:18] よろしくお願いします
[00:34] すみません
[00:35] でもはじめまーす
[00:36] すみません
[00:38] 一町から入らない
[00:40] ありがとうございます
[00:45] 先輩さんに対等します
[00:46] 可愛いと申します
[00:47] どうぞよろしくお願いします
[00:48] 頂戴いたします
[00:49] すみません
[00:51] 今日どうもありがとうございます
[00:52] どうぞ
[00:53] ありがとうございます
[00:56] すみません
[00:57] お時間を作っていただきまーす
[00:58] どうもありがとうございます
[00:59] どうして
[01:03] 特定技能の外国席で
[01:06] 働かれている方の
[01:08] ことというような形で
[01:10] 今毎月やらせていただいている
[01:12] 通常毎月1回
[01:14] オンラインコートで
[01:15] 面談をザラクさんと
[01:17] させていただくんですけれども
[01:18] 3カ月に1回ですね
[01:21] 入国管理局の決まりで
[01:25] 情長の責任者の方と
[01:28] ご本人に
[01:29] と面談をさせていただいて
[01:31] ご本人が
[01:32] 例えば店本の中で
[01:34] 働いている環境が
[01:36] ご本人以外にも
[01:37] 現場の方から
[01:38] ちょっとお伺いさせていただいている
[01:39] そうか
[01:40] そういったところで
[01:41] 支援機関として
[01:42] サポートできることはないのか
[01:44] とか
[01:45] もしかしたら
[01:46] 客人何か
[01:47] 要望とかですね
[01:48] いただければ
[01:49] ちょっと持ち帰らせていただいて
[01:51] はい
[01:52] そういったことは
[01:53] 今大体100名ぐらいの方ですかね
[01:56] いらっしゃるんですけど
[01:58] 担当させていただいている
[01:59] という形ですね
[02:00] はい
[02:01] ありがとうございます
[02:02] 今日はザラクさんと
[02:05] 責任者の質が
[02:07] さんの方にちょっとお話を
[02:08] 聞かせていただければなと思うんですけど
[02:10] もう
[02:11] おじくん大体2,3人ぐらい
[02:12] 結構ちょうだい出ればな
[02:13] と思います
[02:14] うん
[02:28] 結構
[02:29] ザラクさん来た時からも
[02:30] ずっと責任者だよ
[02:31] そうですね
[02:32] なるほど
[02:33] ここの店舗も長いんですか
[02:34] ここは長いんですか
[02:35] あ
[02:36] ベリリンさんのほうは
[02:37] もう入られて
[02:38] ここは自由になります
[02:39] あ、そうなんですか
[02:40] ずっと飲食で
[02:41] そうですね
[02:42] あ、そうなんですね
[02:49] これまでザラクさん以外にも
[02:51] 特定技能の方とかと
[02:52] 関わりっていうのは
[02:53] 結構あられたんですか
[02:54] 当初今
[02:55] いらっしゃる
[02:56] 今ままの女の子いるんですか
[02:57] はい
[02:58] その子が
[02:59] あ、同じ特定技能
[03:00] はい
[03:01] なるほどです
[03:02] もう2年前になりました
[03:08] そうなんですよ
[03:09] 結構長いですね
[03:10] はい
[03:11] じゃあもう
[03:12] 2名在籍されて
[03:13] そう
[03:14] 仕事内容的には
[03:19] ホールとかキッチンとか
[03:20] だと
[03:21] どういったところ
[03:22] 何でされてるんですか
[03:23] 先月まで
[03:24] キッチンでやられたんですけど
[03:25] はい
[03:26] ホリの希望がありまして
[03:27] 今月から
[03:28] ホールのホール
[03:29] そうなんですね
[03:30] はい
[03:40] 事前こう
[03:41] お店の
[03:42] 営業時間に合わせて
[03:43] 事前こう
[03:44] ザラクさん
